Applicant,FacilityType,LocationDescription,Address,BlockLot,Block,Lot,Status,FoodItems,X,Y,Latitude,Longitude
Park's Catering,Truck,RANKIN ST: DAVIDSON AVE to EVANS AVE (200 - 299),220 RANKIN ST,5215016,5215,16,APPROVED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,6014805.514,2099795.201,37.74646979,-122.3915152
Flavors of Africa,Truck,MISSION ST: SHAW ALY to ANTHONY ST (543 - 586),560 MISSION ST,3708095,3708,95,SUSPEND,Meat and vegi rice bowls: meat and vegi salad bowls: meat and vegi wraps: drinks and juices.,6012851.27,2115274.827,37.78886472,-122.3993594
Roadside Rotisserie Corporation / Country Grill,Truck,BATTERY ST: CALIFORNIA ST to HALLECK ST (200 - 230),225 BATTERY ST,238002,238,2,APPROVED,Rotisserie Chicken; Ribs; Pork Loin; Roasted Potatoes; Chicken Wrap; Kale Salad; Drinks,6012600.766,2116948.597,37.79344653,-122.4003437
Leo's Hot Dogs,Push Cart,MISSION ST: 19TH ST to 20TH ST (2300 - 2399),2301 MISSION ST,3595031,3595,31,EXPIRED,Hot dogs and related toppings: non alcoholic beverages,6007018.02,2104913.057,37.76008693,-122.4188065
F & C Catering,Truck,,Assessors Block /Lot,,,,EXPIRED,Cold Truck: Hot/Cold Sandwiches: Water: Soda: Juice: Snacks: Milk: Candies: Canned Food: Soups: Cup of Noodles: Fruit: Salad,,,0,0
Zuri Food Facilities,Truck,SPEAR ST: MISSION ST to HOWARD ST (100 - 199),100 SPEAR ST,3717001,3717,1,APPROVED,Peruvian Food Served Hot,6014423.85,2116439.642,37.79215055,-122.394
F & C Catering,Truck,MINNESOTA ST: 20TH ST to 22ND ST (800 - 999),900 MINNESOTA ST,4106001A,4106,001A,EXPIRED,Cold Truck: Hot/Cold Sandwiches: Water: Soda: Juice: Snacks: Milk: Candies: Canned Food: Soups: Cup of Noodles: Fruit: Salad,,,0,0
F & C Catering,Truck,25TH ST: MICHIGAN ST to ILLINOIS ST (700 - 799),700 25TH ST,4244004,4244,4,EXPIRED,Cold Truck: Hot/Cold Sandwiches: Water: Soda: Juice: Snacks: Milk: Candies: Canned Food: Soups: Cup of Noodles: Fruit: Salad,6016344.255,2102281.09,37.75338081,-122.3863677
Philz Coffee Truck,Truck,SUTTER ST: POWELL ST to MASON ST (500 - 599),556 SUTTER ST,284009,284,9,APPROVED,Hot coffee: iced coffee: hot chocolate: tea: pastries,6009899.062,2115524.564,37.78938545,-122.4095913
Zuri Food Facilities,Truck,02ND ST: STILLMAN ST to BRYANT ST (454 - 499),490 02ND ST,3763007,3763,7,APPROVED,Peruvian Food Served Hot,6014337.512,2113125.58,37.7830461,-122.3940666
Philz Coffee Truck,Truck,CALIFORNIA ST: SANSOME ST to LEIDESDORFF ST (400 - 448),401 CALIFORNIA ST,260001,260,1,APPROVED,Hot coffee: iced coffee: hot chocolate: tea: pastries,6012304.287,2116717.605,37.79279574,-122.4013533
Philz Coffee Truck,Truck,MONTGOMERY ST: COLUMBUS AVE \ WASHINGTON ST to JACKSON ST (700 - 799),735 MONTGOMERY ST,195001,195,1,APPROVED,Hot coffee: iced coffee: hot chocolate: tea: pastries,6011635.905,2117976.662,37.7962155,-122.4037546
Park's Catering,Truck,MARIN ST: KANSAS ST to HWY 101 N ON RAMP (2500 - 2599),2525 MARIN ST,4343001D,4343,001D,APPROVED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,6011789.79,2100273.801,37.74761607,-122.401977
Plaza Garibaldy,Truck,CALIFORNIA ST: LEIDESDORFF ST to MONTGOMERY ST (449 - 499),475 CALIFORNIA ST,260010,260,10,APPROVED,Tacos: burritos: quesadillas,6012002.812,2116560.078,37.79234639,-122.4023853
Plaza Garibaldy,Truck,MONTGOMERY ST: POST ST to SUTTER ST (1 - 99),1 MONTGOMERY ST,292002,292,2,APPROVED,Tacos: burritos: quesadillas,6011970.278,2115432.874,37.78924953,-122.4024186
Zuri Food Facilities,Truck,MARIPOSA ST: ARKANSAS ST to CAROLINA ST (1500 - 1699),1601 MARIPOSA ST,4006005,4006,5,APPROVED,Peruvian Food Served Hot,,,0,0
Park's Catering,Truck,INNES AVE: ARELIOUS WALKER DR to GRIFFITH ST (800 - 899),Assessors Block 4645/Lot015,4645015,4645,15,APPROVED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,6019359.973,2094482.884,37.73213495,-122.3753981
F & C Catering,Truck,PENNSYLVANIA AVE: 22ND ST to 23RD ST (700 - 899),898 PENNSYLVANIA AVE,4167003,4167,3,EXPIRED,Cold Truck: Hot/Cold Sandwiches: Water: Soda: Juice: Snacks: Milk: Candies: Canned Food: Soups: Cup of Noodles: Fruit: Salad,6014175.628,2103109.247,37.75553447,-122.3939253
Philz Coffee Truck,Truck,PINE ST: BATTERY ST to SANSOME ST (200 - 299),250 PINE ST,261007,261,7,APPROVED,Hot coffee: iced coffee: hot chocolate: tea: pastries,6012487.324,2116531.736,37.7922956,-122.4007069
Rita's Catering,Truck,MISSION ST: 06TH ST to 07TH ST (1000 - 1099),1028 MISSION ST,3703033,3703,33,SUSPEND,Filipino Food,6009812.085,2112361.07,37.78069438,-122.4096688
Plaza Garibaldy,Truck,HOWARD ST: 01ST ST to MALDEN ALY (500 - 589),540 HOWARD ST,3721015,3721,15,APPROVED,Tacos: burritos: quesadillas,6013457.851,2114931.191,37.78795496,-122.3972365
Flavors of Africa,Truck,MISSION ST: SHAW ALY to ANTHONY ST (543 - 586),555 MISSION ST,3721120,3721,120,SUSPEND,Meat and vegi rice bowls: meat and vegi salad bowls: meat and vegi wraps: drinks and juices.,6013055.646,2115118.242,37.78844616,-122.3986412
Philz Coffee Truck,Truck,MARINA BLVD: LAGUNA ST to BEACH ST \ BUCHANAN ST \ LOWER FORT MASON ST (1 - 99),15 MARINA BLVD,446002,446,2,APPROVED,Hot coffee: iced coffee: hot chocolate: tea: pastries,6003247.312,2121194.213,37.80457787,-122.4330108
Park's Catering,Truck,NEWHALL ST: MENDELL ST to EVANS AVE (200 - 399),220 NEWHALL ST,5203040,5203,40,APPROVED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,6016819.592,2098496.079,37.74301425,-122.3844602
Park's Catering,Truck,BURKE AVE: START: 1500-1599 BLOCK to 03RD ST (1500 - 1599),1555 BURKE AVE,5203067,5203,67,APPROVED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,6016389.778,2098759.392,37.74371348,-122.3859648
FRUITYMANIA,Push Cart,MARKET ST: 04TH ST \ ELLIS ST \ STOCKTON ST to POWELL ST (800 - 890) -- NORTH --,870 MARKET ST,329005,329,5,SUSPEND,Fruit Salads: Fruit Drinks: Can Soda: Water,6010493.859,2113955.658,37.78511092,-122.4074227
Tacos Rodriguez,Truck,EVANS AVE: KEITH ST to MENDELL ST (1201 - 1399) -- SOUTH --,1275 EVANS AVE,5237033,5237,33,SUSPEND,Tacos: burritos: quesadillas: soda & water,6017367.817,2097063.665,37.73911143,-122.382465
"Halal Cart, LLC",Push Cart,MARKET ST: STEUART ST to SPEAR ST (1 - 99) -- SOUTH --,1 MARKET ST,3713006,3713,6,SUSPEND,kebabs: halal gyro: grilled halal meat: refreshments,6014186.566,2117071.214,37.79387151,-122.3948652
Tacos El Flaco,Truck,03RD ST: 25TH ST to 26TH ST (2901 - 2999) -- EAST --,2901 03RD ST,4296010,4296,10,EXPIRED,Tacos: Burritos: Tortas: Quesadillas: Chips & Salsa & Various Beverages,6016154.266,2101929.534,37.75240499,-122.3870002
Wu Wei LLC dba MoBowl,Truck,WASHINGTON ST: THE EMBARCADERO to DRUMM ST (1 - 99),370 DRUMM ST,201012,201,12,EXPIRED,Various types of meat: veggie: and seafood bowls.,6013693.222,2118189.172,37.79691371,-122.3966507
Park's Catering,Truck,EVANS AVE: HUNTERS POINT BLVD to JENNINGS ST \ MIDDLE POINT RD (1031 - 1099),1000 EVANS AVE,4580002,4580,2,APPROVED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,6019061.118,2096525.406,37.73772687,-122.3765729
Street Meet,Truck,GROVE ST: 08TH ST \ HYDE ST \ MARKET ST to LARKIN ST (1 - 55),30 GROVE ST,354001,354,1,SUSPEND,Burritos: Tacos: Quesadillas: Tortas: Carne Asada Fries and various drinks,6008026.826,2111838.426,37.77915912,-122.4158079
Street Meet,Truck,MINNESOTA ST: 04TH ST \ MARIPOSA ST to 18TH ST (500 - 599),777 MARIPOSA ST,3997004,3997,4,SUSPEND,Tacos: burritos: quesadillas: tortas: asada fries: nachos,6015005.349,2106106.834,37.76381128,-122.3912654
Golden Gate Halal Food,Push Cart,MARKET ST: 07TH ST \ CHARLES J BRENHAM PL to 08TH ST \ GROVE ST \ HYDE ST (1101 - 1199) -- SOUTH --,1169 MARKET ST,3702051,3702,51,SUSPEND,Pulao Plates & Sandwiches: Various Drinks,,,0,0
Park's Catering,Truck,EVANS AVE: NAPOLEON ST \ TOLAND ST to MARIN ST (2000 - 2099),2020 EVANS AVE,4347A000,4347A,0,APPROVED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,,,0,0
Park's Catering,Truck,LOOMIS ST: BARNEVELD AVE \ MCKINNON AVE to OAKDALE AVE (1 - 99),10 LOOMIS ST,5560100,5560,100,APPROVED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,6011237.657,2098889.381,37.74378392,-122.4037888
Park's Catering,Truck,INNES AVE: EARL ST to ARELIOUS WALKER DR (700 - 799),Assessors Block 4644/Lot008,4644008,4644,8,APPROVED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,6019956.89,2094023.408,37.73090615,-122.3733026
Shah's Halal Food,Push Cart,MARKET ST: BATTERY ST to SUTTER ST (540 - 558) -- NORTH --,532 MARKET ST,290012,290,12,SUSPEND,Chicken Gyro: Lamb Gyro: Chiken Gyro Plate: Lamb Gyro Plate: Combination Gyro Plate.,6012582.228,2115893.453,37.79054832,-122.4003337
"Halal Cart, LLC",Push Cart,MONTGOMERY ST: CALIFORNIA ST to SACRAMENTO ST (400 - 499),400 MONTGOMERY ST,239009,239,9,SUSPEND,kebabs: halal gyro: grilled halal meat: refreshments,6011956.214,2116853.2,37.79314863,-122.4025672
FRUITYMANIA,Push Cart,MARKET ST: 04TH ST \ ELLIS ST \ STOCKTON ST to POWELL ST (801 - 863) -- SOUTH --,801 MARKET ST,3705Z001,3705Z,1,SUSPEND,Fruit Salads: Fruit Drinks: Can Soda: Water,6010997.434,2113901.46,37.78499028,-122.4056766
Park's Catering,Truck,NEWHALL ST: MENDELL ST to EVANS AVE (200 - 399),300 NEWHALL ST,5203041,5203,41,APPROVED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,6016565.95,2098577.827,37.74322468,-122.385343
Park's Catering,Truck,03RD ST: EVANS AVE to FAIRFAX AVE (3801 - 3899) -- EAST --,3801 03RD ST,5242002,5242,2,APPROVED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,6015841.555,2097791.762,37.74102621,-122.3877929
Tacos Rodriguez,Truck,OAKDALE AVE: INDUSTRIAL ST \ SELBY ST to TOLAND ST (2100 - 2199),2198 OAKDALE AVE,5590A008,5590A,8,SUSPEND,Tacos: burritos: quesadillas: soda & water,6011973.411,2097858.615,37.74099474,-122.4011723
Street Meet,Truck,LARKIN ST: GROVE ST to FULTON ST (100 - 199),100 LARKIN ST,354001,354,1,SUSPEND,Burritos: Tacos: Quesadillas: Tortas: Carne Asada Fries and various drinks,6008026.826,2111838.426,37.77915912,-122.4158079
Tacos Rodriguez,Truck,MENDELL ST: GALVEZ AVE to HUDSON AVE (600 - 699),600 MENDELL ST,5254037,5254,37,SUSPEND,Tacos: burritos: quesadillas: soda & water,6016207.357,2097293.665,37.73967879,-122.3864934
Halal Cart of San Francisco,Push Cart,MARKET ST: STEUART ST to SPEAR ST (1 - 99) -- SOUTH --,1 MARKET ST,3713006,3713,6,SUSPEND,Halal Gyro over Rice: Halal Chicken over Rice: Halal Gyro: and Chicken Sandwich,6014186.566,2117071.214,37.79387151,-122.3948652
Lerso,Truck,MISSION ST: 10TH ST to 11TH ST (1400 - 1499),1450 MISSION ST,3507040,3507,40,SUSPEND,Pernil Asado: Ropa Vieja: Arroz con Pollo: Cuban Sandwich: Croquetas Fritas: Tostones: Platanos Maduros: Yuca Frita,6007518.36,2110417.248,37.77522831,-122.4174661
Park's Catering,Truck,PHELPS ST: FAIRFAX AVE to SAM JORDANS WAY (500 - 599),525 PHELPS ST,5242015,5242,15,APPROVED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,6015469.672,2098066.746,37.74176065,-122.389098
Park's Catering,Truck,MISSISSIPPI ST: START: 1200-1299 BLOCK to CESAR CHAVEZ ST (1200 - 1299),1200 MISSISSIPPI ST,4288003,4288,3,APPROVED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,6014017.542,2101712.689,37.75169104,-122.3943742
Natan's Catering,Truck,KANSAS ST: 16TH ST to 17TH ST (300 - 399),350 KANSAS ST,3958001D,3958,001D,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6011363.148,2106748.619,37.76537067,-122.4039078
Natan's Catering,Truck,MARIN ST: START: 800-949 BLOCK to MICHIGAN ST (800 - 899),888 MARIN ST,4358007,4358,7,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6016687.302,2100845.634,37.74945833,-122.3850813
Natan's Catering,Truck,25TH ST: MARYLAND ST to MICHIGAN ST (400 - 699),Assessors Block 4241/Lot002,4241002,4241,2,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6016991.219,2102253.193,37.75334,-122.3841284
Natan's Catering,Truck,CESAR CHAVEZ ST: 03RD ST to TENNESSEE ST (1000 - 1099),Assessors Block 4315/Lot03008,431503008,4315,3008,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,,,0,0
Natan's Catering,Truck,EVANS AVE: RANKIN ST to SELBY ST (1800 - 1890),1801 EVANS AVE,5232005,5232,5,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6014340.249,2099120.438,37.7445912,-122.3930769
Natan's Catering,Truck,CONNECTICUT ST: 17TH ST to MARIPOSA ST (100 - 199),146 CONNECTICUT ST,3983037,3983,37,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6013067.343,2106377.709,37.7644473,-122.3979874
Natan's Catering,Truck,HARRISON ST: 26TH ST to KAMILLE CT (3000 - 3048),3040 HARRISON ST,6573001,6573,1,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6008722.691,2100785.001,37.74884806,-122.412619
Natan's Catering,Truck,HARRISON ST: MERLIN ST to OAK GROVE ST (924 - 950),950 HARRISON ST,3753241,3753,241,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6011666.481,2111483.537,37.77838862,-122.4031918
San Francisco's Hometown Creamery,Truck,CALIFORNIA ST: SANSOME ST to LEIDESDORFF ST (400 - 448),425 CALIFORNIA ST,260001,260,1,APPROVED,Ice Cream: Waffle Cones,6012304.287,2116717.605,37.79279574,-122.4013533
Natan's Catering,Truck,ALEMANY BLVD: FOLSOM ST to ELLSWORTH ST \ I-280 S OFF RAMP \ I-280 S ON RAMP (400 - 498) -- NORTH --,400 ALEMANY BLVD,5843024,5843,24,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6008042.137,2095078.992,37.7331424,-122.4145686
Natan's Catering,Truck,ILLINOIS ST: 25TH ST to ILLINOIS ST (1500 - 1599),Assessors Block 4296/Lot010,4296010,4296,10,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6016154.266,2101929.534,37.75240499,-122.3870002
San Francisco's Hometown Creamery,Truck,PINE ST: SANSOME ST to CENTURY PL (300 - 340),301 PINE ST,268001,268,1,APPROVED,Ice cream & Waffle cones,6012318.456,2116367.149,37.79183426,-122.4012796
Natan's Catering,Truck,,Assessors Block 4103/Lot023A,4103023A,4103,023A,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6014314.885,2104114.856,37.7583034,-122.3935141
Natan's Catering,Truck,03RD ST: MARIN ST to ARTHUR AVE \ CARGO WAY (3201 - 3399) -- EAST --,3201 03RD ST,4377001,4377,1,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6016160.221,2100487.333,37.74844534,-122.386879
Natan's Catering,Truck,17TH ST: MISSION ST to HOFF ST (3300 - 3343),3335 17TH ST,3576086,3576,86,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6006602.872,2106039.462,37.76315639,-122.4203222
Natan's Catering,Truck,,Assessors Block 5369/Lot003,5369003,5369,3,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6011013.658,2096830.358,37.73811777,-122.4044185
Natan's Catering,Truck,,Assessors Block 4046/Lot001,4046001,4046,1,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6016675.163,2105416.559,37.76200846,-122.3854418
Natan's Catering,Truck,,Assessors Block 7295/Lot022,7295022,7295,22,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,5989624.724,2094318.981,37.73000368,-122.4781863
Natan's Catering,Truck,,Assessors Block 4172/Lot010,4172010,4172,10,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6015746.892,2103656.591,37.75712456,-122.3885295
Natan's Catering,Truck,07TH ST: HOOPER ST to IRWIN ST (1100 - 1199),1140 07TH ST,3820002,3820,2,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6012967.316,2107764.443,37.76824939,-122.3984307
Natan's Catering,Truck,MENDELL ST: CARGO WAY to NEWHALL ST (1 - 199),151 MENDELL ST,4570019,4570,19,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6017284.437,2098416.063,37.74282023,-122.3828474
San Francisco's Hometown Creamery,Truck,POST ST: STOCKTON ST to POWELL ST (300 - 399),340 POST ST,295005,295,5,APPROVED,Ice Cream: Waffle Cones,6010506.675,2115261.438,37.788697,-122.4074704
Natan's Catering,Truck,,Assessors Block 8722/Lot001,8722001,8722,1,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6016110.001,2107608.418,37.76799555,-122.3875494
Natan's Catering,Truck,,Assessors Block 5598/Lot031,5598031,5598,31,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6010555.368,2097635.855,37.74030387,-122.4060597
San Francisco's Hometown Creamery,Truck,POST ST: MONTGOMERY ST to LICK PL (1 - 40),1 MONTGOMERY ST,292002,292,2,APPROVED,Ice Cream: Waffle Cones,6011970.278,2115432.874,37.78924953,-122.4024186
Natan's Catering,Truck,03RD ST: 18TH ST to 19TH ST (2101 - 2199) -- EAST --,2101 03RD ST,4045004,4045,4,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,,,0,0
Natan's Catering,Truck,QUINT ST: ARTHUR AVE to CUSTER AVE (1 - 199),50 QUINT ST,5201001,5201,1,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6015535.265,2099780.721,37.74647051,-122.3889908
Natan's Catering,Truck,MISSOURI ST: 20TH ST to SIERRA ST (500 - 630),555 MISSOURI ST,4101031,4101,31,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6013632.016,2104493.013,37.75930377,-122.3959022
Natan's Catering,Truck,ILLINOIS ST: MARIPOSA ST \ TERRY A FRANCOIS BLVD to 18TH ST (600 - 699),Assessors Block 3941/Lot001,3941001,3941,1,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6016208.818,2106421.254,37.76474132,-122.3871248
Natan's Catering,Truck,POTRERO AVE: 10TH ST \ BRANNAN ST \ DIVISION ST to ALAMEDA ST (1 - 99),66 POTRERO AVE,3906004,3906,4,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6010061.632,2107930.589,37.76854329,-122.4084929
Natan's Catering,Truck,,1650 03RD ST,8711007,8711,7,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6014983.883,2108042.285,37.76912441,-122.3914749
Natan's Catering,Truck,,Assessors Block 5216/Lot030,5216030,5216,30,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6015212.23,2099399.714,37.74540643,-122.3900812
Natan's Catering,Truck,,Assessors Block 8722/Lot003,8722003,8722,3,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6014776.597,2107430.478,37.76743302,-122.3921491
Natan's Catering,Truck,23RD ST: START: 100-699 BLOCK to ILLINOIS ST (100 - 699),435 23RD ST,4232010,4232,10,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6016887.317,2102871.037,37.75503073,-122.3845307
Natan's Catering,Truck,16TH ST: 04TH ST to OWENS ST (600 - 699),600 16TH ST,8718001,8718,1,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6015149.302,2107435.061,37.76746629,-122.3908603
Natan's Catering,Truck,BURKE AVE: START: 1500-1599 BLOCK to 03RD ST (1500 - 1599),1580 BURKE AVE,5203066,5203,66,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6016479.944,2099135.868,37.74475219,-122.3856792
Natan's Catering,Truck,,Assessors Block 4058/Lot010,4058010,4058,10,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6015895.442,2105131.652,37.76118299,-122.3881187
Natan's Catering,Truck,26TH ST: RHODE ISLAND ST to KANSAS ST (2200 - 2299),Assessors Block 4281a/Lot012A,4281a012A,4281a,012A,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6011939.286,2101416.045,37.75076077,-122.4015403
Natan's Catering,Truck,MISSION BAY BLVD SOUTH: 03RD ST \ MISSION BAY BLVD to 04TH ST \ MISSION BAY BLVD (501 - 599),Assessors Block 8732/Lot001,8732001,8732,1,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6015193.322,2108612.958,37.77070298,-122.3907904
Tacos Santo Toribio,Truck,TOLAND ST: NEWCOMB AVE to OAKDALE AVE (900 - 999),928 TOLAND ST,5597A001,5597A,1,REQUESTED,tacos,6011869.691,2098089.783,37.74162369,-122.4015472
Star Taco,,HOWARD ST: MALDEN ALY to 02ND ST (574 - 599),580 HOWARD ST,3721092,3721,92,REQUESTED,Mexican Food,6013221.712,2114698.993,37.78730425,-122.3980373
Quan Catering,Truck,03RD ST: 25TH ST to 26TH ST (2900 - 2998) -- WEST --,2920 03RD ST,4295014,4295,14,EXPIRED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,6015872.066,2101777.398,37.75197163,-122.3879655
tacos y pupusas los trinos,,MISSION ST: AVALON AVE to COTTER ST (4368 - 4439),4384 MISSION ST,6798004,6798,4,REQUESTED,,6002680.03,2093158.531,37.72756654,-122.4329697
Scotch Bonnet,Truck,SANSOME ST: BUSH ST to PINE ST (100 - 199),115 SANSOME ST,268002,268,2,EXPIRED,Jerk chicken: curry chicken: curry goat: curry dhal: Burritos: Fish: Ox tails: rice: beans: veggies.,6012385.284,2116217.3,37.79142654,-122.4010379
Kettle Corn Star,Push Cart,MARKET ST: YERBA BUENA LN to 04TH ST \ ELLIS ST \ STOCKTON ST (767 - 799) -- SOUTH --,773 MARKET ST,3706096,3706,96,EXPIRED,Kettle Corn: Funnel Cakes: Lemonade: Beverages: Flan: Hot Dogs: Falafel: Hot and Cold Sandwiches: French Fries: Baklava and Pastries,6011371.872,2114041.468,37.78539564,-122.404391
Quan Catering,Truck,LANE ST: VAN DYKE AVE to 03RD ST (2100 - 2199),2111 LANE ST,5387022,5387,22,EXPIRED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,6014449.984,2093362.785,37.72878796,-122.3922948
